*
*
*Imbalance Prices Service For Balancing (B1770) Data
*
*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28271877,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,153.68,48,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28271877,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,153.68,48,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28271732,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,165.49,47,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28271732,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,165.49,47,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28271595,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,25,46,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28271595,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,25,46,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28271421,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,231,45,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28271421,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,231,45,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28271288,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,135,44,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28271288,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,135,44,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28271160,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,231,43,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28271160,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,231,43,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28271042,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131.65,42,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28271042,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131.65,42,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28270891,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131.65,41,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28270891,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131.65,41,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28270755,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131.65,40,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28270755,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131.65,40,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28270605,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131.65,39,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28270605,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131.65,39,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28270474,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,135,38,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28270474,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,135,38,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28270315,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,255,37,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28270315,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,255,37,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28270179,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,255,36,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28270179,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,255,36,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28270057,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,257.95,35,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28270057,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,257.95,35,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28269941,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,150,34,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28269941,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,150,34,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28269772,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,250,33,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28269772,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,250,33,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28269628,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,259.5,32,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28269628,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,259.5,32,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28269445,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131,31,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28269445,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131,31,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28269309,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,270,30,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28269309,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,270,30,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28269136,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,270,29,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
